Status,Date,Description,Debit,Credit
Cleared,05/15/2024,"ONLINE PAYMENT, THANK YOU",,-4381.59
Cleared,05/15/2024,"CAMPUS OUTREACH CHAR MATTHEWS NC",200.00,
Cleared,05/15/2024,"AIRBNB HMYK3MJASZ 4158005959 CA",2579.06,
Cleared,05/15/2024,"76 - TOMMYS 18 MEBANE NC",3.73,
Cleared,05/15/2024,"DUNKIN #363344 MEBANE NC",5.12,
Cleared,05/15/2024,"GRUBHUBGHPLUS 8775851085 NY",10.71,
Cleared,05/14/2024,"TST* DRAKE'S - BURLING BURLINGTON NC",30.80,
Cleared,05/14/2024,"THRIFT BOOKS GLOBAL, L 2532752241 WA null XXXXXXXXXXXX7666",22.30,
Cleared,05/14/2024,"SQ *TRAVELING ADDICTIO Mebane NC",12.96,
Cleared,05/13/2024,"MUFFIN'S ICE CREAM MEBANE NC",7.20,
Cleared,05/12/2024,"ONLINE PAYMENT, THANK YOU",,-348.45
Cleared,05/12/2024,"GRILL WORX MEBANE NC",25.20,
Cleared,05/11/2024,"LOWE'S FOODS #236 MEBANE NC",12.34,
Cleared,05/11/2024,"SQ *TRAVELING ADDICTIO Mebane NC null XXXXXXXXXXXX7666",6.65,
Cleared,05/11/2024,"THE POPPE SHOPPE MEBANE NC",41.20,
Cleared,05/10/2024,"AMERICAN0012139695453 4029357733 TXNAME: PRITCHARD/ASHLEY DEPART:11/24/2024 CLT TO RDU: AA: CLASS:K : STOP: X UVF TO CLT: AA: CLASS:K : STOP: X CLT TO UVF: AA: CLASS:K : STOP: X RDU TO CLT: AA: CLASS:K : STOP: X null XXXXXXXXXXXX3973",2129.10,
Cleared,05/10/2024,"AMERICAN0012139695452 4029357733 TXNAME: LEMIEUX/JAMES DEPART:11/24/2024 CLT TO RDU: AA: CLASS:K : STOP: X UVF TO CLT: AA: CLASS:K : STOP: X CLT TO UVF: AA: CLASS:K : STOP: X RDU TO CLT: AA: CLASS:K : STOP: X null XXXXXXXXXXXX3973",2129.10,
Cleared,05/09/2024,"WEGMANS CHAPEL HILL #1 CHAPEL HILL NC null XXXXXXXXXXXX7666",6.25,
Cleared,05/09/2024,"76 - TOMMYS 18 MEBANE NC null XXXXXXXXXXXX7666",8.31,
Cleared,05/09/2024,"RENEWAL BODY CONTOURIN RALEIGH NC null XXXXXXXXXXXX7666",315.00,
Cleared,05/09/2024,"SQ *TRAVELING ADDICTIO Mebane NC null XXXXXXXXXXXX7666",10.49,
Cleared,05/08/2024,"DUNKIN #363344 MEBANE NC null XXXXXXXXXXXX7666",8.40,
