Trans. Date,Post Date,Description,Amount,Category
03/23/2024,03/23/2024,"CHATGPT SUBSCRIPTION 4158799686 CA",20.00,"Merchandise"
04/01/2024,04/01/2024,"INTERNET PAYMENT - THANK YOU",-92.56,"Payments and Credits"
04/06/2024,04/06/2024,"SQ *FILAMENT COFFEE MEBANE NCAPPLE PAY ENDING IN 36990002305843019593585508",11.94,"Restaurants"
04/09/2024,04/09/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",23.01,"Merchandise"
04/09/2024,04/09/2024,"SQ *TRAVELING ADDICTIO MEBANE NCAPPLE PAY ENDING IN 36990002305843019608893945",12.44,"Services"
04/10/2024,04/10/2024,"DD DOORDASH CASTLEMED 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",30.20,"Merchandise"
04/10/2024,04/10/2024,"GRILL WORX MEBANE NC",20.19,"Restaurants"
04/10/2024,04/10/2024,"SQ *TRAVELING ADDICTIO MEBANE NC0002305843019614357486",6.92,"Services"
04/11/2024,04/11/2024,"DUNKIN #363344 MEBANE NC",3.39,"Restaurants"
04/12/2024,04/12/2024,"DUNKIN #363344 MEBANE NC",8.40,"Restaurants"
04/12/2024,04/12/2024,"QUICK MART VALERO MEBANE NC",41.39,"Gasoline"
04/13/2024,04/13/2024,"ASIAN HARBOR MEBANE NC",56.18,"Restaurants"
04/13/2024,04/13/2024,"UNION 76 MEBANE NC",3.33,"Gasoline"
04/15/2024,04/15/2024,"INTERNET PAYMENT - THANK YOU",-116.49,"Payments and Credits"
04/15/2024,04/15/2024,"SQ *FILAMENT COFFEE MEBANE NCAPPLE PAY ENDING IN 36990002305843019649689252",7.38,"Restaurants"
04/16/2024,04/18/2024,"ROCKET WASH EXPRESS MEBA MEBANE NC",20.00,"Automotive"
04/16/2024,04/18/2024,"UNION 76 MEBANE NC",6.26,"Gasoline"
04/16/2024,04/18/2024,"ZAXBY'S #36601 MEBANE NC01675P",11.95,"Restaurants"
04/18/2024,04/18/2024,"GRILL WORX MEBANE NC",33.24,"Restaurants"
04/19/2024,04/19/2024,"LOWE'S OF MEBANE, NC MEBANE NC",17.20,"Home Improvement"
04/19/2024,04/19/2024,"UNION 76 MEBANE NC",3.73,"Gasoline"
04/19/2024,04/19/2024,"WENDYS 436 MEBANE NC",12.05,"Restaurants"
04/25/2024,04/25/2024,"DD DOORDASH CHICK-FIL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",28.53,"Merchandise"
04/26/2024,04/26/2024,"DD DOORDASH SAKEJAPAN 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",46.45,"Merchandise"
04/26/2024,04/26/2024,"DD DOORDASH TACOBELL 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",28.79,"Merchandise"
04/27/2024,04/27/2024,"DD DOORDASH MOESSOUTH 855-973-1040 CAITEM TRANSFERRED FROM PREV ACCOUNT",23.01,"Merchandise"
04/27/2024,04/27/2024,"DOORDASH DASHPASS 6506819470 CA",9.99,"Restaurants"
04/29/2024,04/29/2024,"INTERNET PAYMENT - THANK YOU",-251.23,"Payments and Credits"
05/02/2024,05/02/2024,"INTERNET PAYMENT - THANK YOU",-98.25,"Payments and Credits"
05/30/2024,05/30/2024,"CITY OF MEBANE MEBANE NC",57.36,"Services"
06/10/2024,06/10/2024,"INTERNET PAYMENT - THANK YOU",-57.36,"Payments and Credits"
06/26/2024,06/26/2024,"VALVE BELLEVUE WA",44.82,"Merchandise"
